#bytes    ns/elem
1024   1.23471   # (N=64, reps=39062500) 1/97
1216   1.2105   # (N=76, reps=30186281) 2/97
1456   1.20438   # (N=91, reps=23039227) 3/97
1728   1.20223   # (N=108, reps=17819453) 4/97
2048   1.17785   # (N=128, reps=13810679) 5/97
2432   1.16946   # (N=152, reps=10672462) 6/97
2896   1.16994   # (N=181, reps=8213195) 7/97
3440   1.15819   # (N=215, reps=6344133) 8/97
4096   1.15541   # (N=256, reps=4882813) 9/97
4864   1.14277   # (N=304, reps=3773285) 10/97
5792   1.14018   # (N=362, reps=2903803) 11/97
6896   1.13594   # (N=431, reps=2235188) 12/97
8192   1.13581   # (N=512, reps=1726335) 13/97
9744   1.14179   # (N=609, reps=1330773) 14/97
11584   1.14942   # (N=724, reps=1026649) 15/97
13776   1.12931   # (N=861, reps=791636) 16/97
16384   1.1271   # (N=1024, reps=610352) 17/97
19488   1.13838   # (N=1218, reps=470499) 18/97
23168   1.13952   # (N=1448, reps=362975) 19/97
27552   1.13855   # (N=1722, reps=279885) 20/97
32768   1.17813   # (N=2048, reps=215792) 21/97
38960   1.61719   # (N=2435, reps=166449) 22/97
46336   2.02336   # (N=2896, reps=128331) 23/97
55104   2.22309   # (N=3444, reps=98954) 24/97
65536   2.45766   # (N=4096, reps=76294) 25/97
77936   2.63233   # (N=4871, reps=58831) 26/97
92688   2.75949   # (N=5793, reps=45360) 27/97
110224   2.84647   # (N=6889, reps=34978) 28/97
131072   2.91771   # (N=8192, reps=26974) 29/97
155872   3.02565   # (N=9742, reps=20800) 30/97
185360   3.07198   # (N=11585, reps=16039) 31/97
220432   3.14653   # (N=13777, reps=12368) 32/97
262144   3.1719   # (N=16384, reps=9537) 33/97
311744   4.52314   # (N=19484, reps=7354) 34/97
370720   5.52362   # (N=23170, reps=5671) 35/97
440864   6.26231   # (N=27554, reps=4373) 36/97
524288   6.84468   # (N=32768, reps=3372) 37/97
623488   7.43095   # (N=38968, reps=2600) 38/97
741456   7.78052   # (N=46341, reps=2005) 39/97
881744   8.10859   # (N=55109, reps=1546) 40/97
1048576   8.42157   # (N=65536, reps=1192) 41/97
1246976   8.5959   # (N=77936, reps=919) 42/97
1482912   8.81981   # (N=92682, reps=709) 43/97
1763488   9.03464   # (N=110218, reps=547) 44/97
2097152   9.35631   # (N=131072, reps=421) 45/97
2493952   10.0161   # (N=155872, reps=325) 46/97
2965824   11.5617   # (N=185364, reps=251) 47/97
3526976   14.2999   # (N=220436, reps=193) 48/97
4194304   23.3068   # (N=262144, reps=149) 49/97
4987904   35.0881   # (N=311744, reps=115) 50/97
5931648   44.0838   # (N=370728, reps=89) 51/97
7053952   49.997   # (N=440872, reps=68) 52/97
8388608   56.9331   # (N=524288, reps=53) 53/97
9975792   62.9947   # (N=623487, reps=41) 54/97
11863280   65.5727   # (N=741455, reps=31) 55/97
14107904   67.9024   # (N=881744, reps=24) 56/97
16777216   69.8036   # (N=1048576, reps=19) 57/97
19951584   72.9428   # (N=1246974, reps=14) 58/97
23726560   74.4284   # (N=1482910, reps=11) 59/97
28215808   76.8398   # (N=1763488, reps=9) 60/97
33554432   76.8095   # (N=2097152, reps=7) 61/97
39903168   79.0737   # (N=2493948, reps=5) 62/97
47453136   79.47   # (N=2965821, reps=4) 63/97
56431600   78.0797   # (N=3526975, reps=3) 64/97
67108864   82.721   # (N=4194304, reps=2) 65/97
79806336   80.3245   # (N=4987896, reps=2) 66/97
94906272   85.0087   # (N=5931642, reps=1) 67/97
112863200   86.2557   # (N=7053950, reps=1) 68/97
134217728   85.499   # (N=8388608, reps=1) 69/97
159612672   88.1308   # (N=9975792, reps=1) 70/97
189812528   88.9713   # (N=11863283, reps=1) 71/97
225726416   88.4776   # (N=14107901, reps=1) 72/97
268435456   87.7765   # (N=16777216, reps=1) 73/97
319225360   86.856   # (N=19951585, reps=1) 74/97
379625056   87.2797   # (N=23726566, reps=1) 75/97
451452832   91.5092   # (N=28215802, reps=1) 76/97
536870912   90.9125   # (N=33554432, reps=1) 77/97
638450704   90.6452   # (N=39903169, reps=1) 78/97
759250128   89.3908   # (N=47453133, reps=1) 79/97
902905648   89.7434   # (N=56431603, reps=1) 80/97
1073741824   93.543   # (N=67108864, reps=1) 81/97
1276901424   96.6643   # (N=79806339, reps=1) 82/97
1518500256   101.589   # (N=94906266, reps=1) 83/97
1805811296   109.095   # (N=112863206, reps=1) 84/97
2147483648   116.214   # (N=134217728, reps=1) 85/97
2553802832   123.477   # (N=159612677, reps=1) 86/97
3037000496   130.064   # (N=189812531, reps=1) 87/97
3611622608   134.087   # (N=225726413, reps=1) 88/97
4294967296   138.508   # (N=268435456, reps=1) 89/97
5107605664   142.731   # (N=319225354, reps=1) 90/97
6074000992   146.178   # (N=379625062, reps=1) 91/97
7223245200   910.502   # (N=451452825, reps=1) 92/97
